id,name,age,nationality,overall,club
213380,K. Fatai,27,Nigeria,73,FC Ufa
167812,S. Kaya,26,Turkey,73,Sparta Praha
168580,A. Rodríguez,33,Peru,73,NA
160133,M. Celtejo,33,Chile,73,CD Universidad de Concepción
230277,Gustavo Lobateiro,29,Brazil,73,São Paulo Futebol Clube
178566,J. García,30,Argentina,73,Racing Club de Avellaneda
229255,Charles,23,Brazil,73,CS Marítimo
200841,C. Jenkinson,25,England,73,Birmingham City
205193,K. Rekik,22,Netherlands,73,Hertha BSC Berlin
215177,F. Cerro,29,Argentina,73,Rayo Vallecano
215689,A. Petagna,22,Italy,73,Atalanta
172937,G. Murray,33,England,73,Brighton & Hove Albion
146058,Momo,34,Spain,73,UD Las Palmas
209547,S. Mitrović,27,Serbia,73,KAA Gent
219787,A. Mosquera,27,Colombia,73,Club León
230283,Evandro Rochedo,33,Brazil,73,Associação Atlética Ponte Preta
213132,M. Sperduti,31,Argentina,73,Banfield
228236,S. Deli,25,Ivory Coast,73,NA
232076,D. Cure,27,Venezuela,73,Águilas Doradas
188556,M. Diamé,30,Senegal,73,Newcastle United
191628,L. Chichizola,27,Argentina,73,UD Las Palmas
219789,H. Traoré,25,Mali,73,Stade Rennais FC
157581,D. Mesbah,32,Algeria,73,FC Lausanne-Sports
172685,Crespo,30,Spain,73,PAOK Thessaloniki
186253,T. Hubočan,31,Slovakia,73,Trabzonspor
187533,A. Ionov,28,Russia,73,FC Rostov
189581,R. Kambolov,27,Russia,73,Rubin Kazan
230286,Michel Cruceiro,25,Brazil,73,Clube Atlético Mineiro
182670,M. Tekdemir,29,Turkey,73,İstanbul Başakşehir FK
190094,Javi Castellano,29,Spain,73,UD Las Palmas
192910,G. Loria,31,Georgia,73,FC Anzhi Makhachkala
204687,P. Olkowski,27,Poland,73,1. FC Köln
190607,D. Quintero,29,Colombia,73,Club América
160144,M. Jimañez,29,Chile,73,Unión Española
234128,Luiz Araújo,21,Brazil,73,LOSC Lille
197777,J. Sala,25,Italy,73,Sampdoria
188305,A. Bouhaddouz,30,Morocco,73,FC St. Pauli
193169,C. Santos,29,Venezuela,73,Deportivo Alavés
193425,H. Behrens,27,Germany,73,1. FC Nürnberg
208787,A. Thomasson,23,France,73,FC Nantes
221331,L. Mazzitelli,21,Italy,73,Sassuolo
183188,M. Gazzola,32,Italy,73,Sassuolo
211093,C. McGregor,24,Scotland,73,Celtic
214421,F. Hinestroza,27,Colombia,73,Tiburones Rojos de Veracruz
208534,A. Mawson,23,England,73,Swansea City
227222,F. Guilbert,22,France,73,SM Caen
176790,S. Aigner,29,Germany,73,Colorado Rapids
193942,J. Colback,27,England,73,Newcastle United
145047,Bruno Saltor,36,Spain,73,Brighton & Hove Albion
215703,Marlon Santos,21,Brazil,73,OGC Nice
167575,A. Shunin,30,Russia,73,Dinamo Moscow
184471,A. Judge,28,Republic of Ireland,73,Brentford
160152,A. Marelos,33,Chile,73,Universidad de Chile
210329,F. Falco,25,Italy,73,Perugia
224921,Marín,20,Spain,73,Villarreal CF
228761,O. Estupiñán,20,Colombia,73,Vitória Guimarães
164505,B. Guzan,32,United States,73,Atlanta United FC
193945,N. Uysal,26,Turkey,73,Beşiktaş JK
209818,J. Brenet,23,Netherlands,73,PSV
3484,J. O'Shea,36,Republic of Ireland,73,Sunderland
160156,B. Peñena,29,Chile,73,Universidad Católica
137373,M. Gobbi,36,Italy,73,Chievo Verona
205469,S. Kverkvelia,25,Georgia,73,Lokomotiv Moscow
219806,F. Adi,26,Nigeria,73,Portland Timbers
200607,C. Schindler,27,Germany,73,Huddersfield Town
202399,D. Arias,32,Colombia,73,Atletico Nacional Medellin
204447,F. Lucioni,29,Italy,73,Benevento Calcio
160159,J. Aterola,29,Chile,73,Deportes Iquique
223136,Y. Erdoğan,24,Turkey,73,Bursaspor
164256,Paulinho,31,Brazil,73,Cremonese
44960,N. Johansson,37,Sweden,73,AIK Solna
139169,W. Erviti,37,Argentina,73,Independiente
189857,Quique,27,Spain,73,CA Osasuna
215202,L. Janson,22,Argentina,73,Club Atlético Tigre
176546,J. Zúñiga,31,Colombia,73,Napoli
186274,K. Rausch,27,Russia,73,1. FC Köln
159908,E. Del Carro,25,Chile,73,Everton de Viña del Mar
160164,M. Guidaros,33,Chile,73,Universidad de Chile
220837,D. Machado,23,Colombia,73,KAA Gent
232869,G. Shoji,24,Japan,73,Kashima Antlers
240037,S. Plavšić,21,Serbia,73,Sparta Praha
190629,D. Villalva,24,Argentina,73,Tiburones Rojos de Veracruz
190885,A. Smith,26,England,73,Bournemouth
205478,M. Krmenčík,24,Czech Republic,73,NA
205735,M. Pucciarelli,26,Italy,73,Chievo Verona
211879,J. Haberer,23,Germany,73,SC Freiburg
213927,M. Shevchenko,24,Ukraine,73,Shakhtar Donetsk
159911,R. Mantores,25,Chile,73,Universidad Católica
178087,Bueno,29,Spain,73,FC Porto
191655,Kim Seung Gyu,26,Korea Republic,73,Vissel Kobe
202408,A. Flint,27,England,73,Bristol City
102056,S. Padoin,33,Italy,73,Cagliari
200106,A. Özbiliz,27,Armenia,73,Beşiktaş JK
221354,M. Veljković,21,Serbia,73,SV Werder Bremen
222634,I. Success,21,Nigeria,73,Watford
203435,I. Diomandé,24,Ivory Coast,73,SM Caen
210859,V. Laurini,28,France,73,Fiorentina
172716,Alex López,29,Spain,73,Real Sporting de Gijón
185260,D. Kadah,31,Turkey,73,Antalyaspor
202157,A. Behich,26,Australia,73,Bursaspor
175789,B. Bjarnason,29,Iceland,73,Aston Villa
184749,D. Gosling,27,England,73,Bournemouth
200110,M. Bizot,26,Netherlands,73,AZ Alkmaar
214190,L. Castellanos,33,Colombia,73,Independiente Santa Fe
183982,N. Roux,29,France,73,FC Metz
209839,T. Letschert,24,Netherlands,73,Sassuolo
191151,S. Sow,28,Mali,73,Dinamo Moscow
202672,Danilo Avelar,28,Brazil,73,Amiens SC Football
209840,J. Jeanvier,24,France,73,Stade de Reims
102064,C. Terzi,33,Italy,73,La Spezia
138673,H. Yebda,33,Algeria,73,CF Os Belenenses
220337,J. Alonso,24,Paraguay,73,LOSC Lille
225201,Alex Berenguer,21,Spain,73,Torino
200882,J. Mbakogu,24,Nigeria,73,Carpi
144306,E. Korkmaz,34,Turkey,73,İstanbul Başakşehir FK
233138,Y. Kobayashi,29,Japan,73,Kawasaki Frontale
198579,Tano Bonnin,27,Dominican Republic,73,CA Osasuna
208564,P. Ankersen,26,Denmark,73,FC København
206517,J. Grealish,21,England,73,Aston Villa
208053,D. Pelkas,23,Greece,73,PAOK Thessaloniki
180405,Lulinha,27,Brazil,73,Pohang Steelers
166838,M. Pugh,30,England,73,Bournemouth
205495,A. Lozano,24,Honduras,73,FC Barcelona B
143799,Y. Ayhan,35,Turkey,73,Evkur Yeni Malatyaspor
216247,M. Tisserand,24,DR Congo,73,VfL Wolfsburg
231095,N. Skubic,28,Slovenia,73,Atiker Konyaspor
237239,E. Bardhi,21,FYR Macedonia,73,Levante UD
188599,M. Antenucci,32,Italy,73,Ferrara (SPAL)
159928,P. Candiyana,29,Chile,73,Universidad Católica
230328,Pierrino Faria,29,Brazil,73,Atlético Clube Goianiense
231352,T. Abraham,19,England,73,Swansea City
186296,R. Neustädter,29,Russia,73,Fenerbahçe SK
199353,M. Rzatkowski,27,Germany,73,FC Red Bull Salzburg
211385,R. Durmisi,23,Denmark,73,Real Betis Balompié
213433,F. Tobio,27,Argentina,73,Rosario Central
213689,B. Pearson,22,England,73,Preston North End
159929,R. Henriques,25,Chile,73,Unión Española
230330,Nivo Serpinho,33,Brazil,73,Grêmio Foot-Ball Porto Alegrense
201403,Álvaro,26,Spain,73,RCD Espanyol
168379,Carmona,29,Spain,73,Real Sporting de Gijón
181436,D. Marcq,28,France,73,KAA Gent
199101,Raúl Lizoain,26,Spain,73,UD Las Palmas
214973,L. Villafañez,25,Argentina,73,Panathinaikos FC
219581,S. Gigot,23,France,73,KAA Gent
159933,E. Madrez,33,Chile,73,Unión Española
236221,D. Brašanac,25,Serbia,73,CD Leganés
231102,L. Blas,19,France,73,En Avant de Guingamp
198079,M. Büchel,26,Liechtenstein,73,Hellas Verona
207807,R. Fraser,23,Scotland,73,Bournemouth
178111,M. Biševac,33,Serbia,73,FC Metz
184255,K. Sigþórsson,27,Iceland,73,FC Nantes
202944,O. Hiljemark,25,Sweden,73,Panathinaikos FC
166080,Evandro,30,Brazil,73,Hull City
214209,A. del Valle,28,Colombia,73,CD Los Millionarios Bogota
194753,L. Marrone,27,Italy,73,Bari
207554,V. Claesson,25,Sweden,73,FC Krasnodar
223682,Granell,28,Spain,73,Girona CF
207555,F. Helander,24,Sweden,73,Bologna
225475,Hernani,23,Brazil,73,AS Saint-Étienne
193475,P. Souaré,27,Senegal,73,Crystal Palace
213956,Adama,21,Spain,73,Middlesbrough
222148,O. Duda,22,Slovakia,73,Hertha BSC Berlin
159940,J. Dorlans,29,Chile,73,Everton de Viña del Mar
178628,F. Forestieri,27,Italy,73,Sheffield Wednesday
17605,T. Simons,40,Belgium,73,Club Brugge KV
206022,E. Johansson,28,Sweden,73,FC København
210118,Hélder Lopes,28,Portugal,73,AEK Athens
212678,L. Augustinsson,23,Sweden,73,SV Werder Bremen
159942,M. Rancoret,25,Chile,73,CD Huachipato
169158,J. Peters,30,Netherlands,73,Willem II
189894,G. Sansone,30,Italy,73,Novara
198599,M. Linnes,25,Norway,73,Galatasaray SK
207559,S. Tibbling,22,Sweden,73,Brøndby IF
148167,O. Kuzmin,36,Russia,73,Rubin Kazan
224967,M. Sylla,23,Senegal,73,KAA Gent
189383,M. Albæk,27,Denmark,73,1. FC Kaiserslautern
202184,J. Plata,25,Ecuador,73,Real Salt Lake
223689,W. Weghorst,24,Netherlands,73,AZ Alkmaar
232905,J. Ito,24,Japan,73,Kashiwa Reysol
194761,Borja García,26,Spain,73,Girona CF
143306,T. Zengin,33,Turkey,73,Beşiktaş JK
18122,N. Penneteau,36,France,73,Sporting Charleroi
159946,D. Segoviniozo,25,Chile,73,Universidad Católica
163530,J. Clément,32,France,73,AS Nancy Lorraine
203979,M. Bakalorz,27,Germany,73,Hannover 96
148684,A. Al-Habsi,35,Oman,73,Al Hilal
204493,R. Holzhauser,24,Austria,73,FK Austria Wien
227789,Kim Seung Joon,22,Korea Republic,73,Ulsan Hyundai Horang-i
230094,N. Stojiljković,24,Serbia,73,Kayserispor
112847,J. Jones,35,United States,73,LA Galaxy
190671,M. Frantz,30,Germany,73,SC Freiburg
223952,David Soria,24,Spain,73,Sevilla FC
224977,A. Micai,23,Italy,73,Bari
159953,L. Goterio,33,Chile,73,CD Huachipato
230353,Oswaldito Cuba,33,Brazil,73,Avaí Futebol Clube
201938,A. Limbombe,22,Belgium,73,Club Brugge KV
218066,M. Samatta,24,Tanzania,73,KRC Genk
153298,A. Mvuemba,32,DR Congo,73,FC Lorient
175314,K. McDonald,28,Scotland,73,Fulham
212947,J. Cabot,23,France,73,FC Lorient
216019,D. Musto,30,Argentina,73,Club Tijuana
236499,Douglas Luiz,19,Brazil,73,Girona CF
181459,V. Torosidis,32,Greece,73,Bologna
205524,Rúben Ferreira,27,Portugal,73,Grupo Desportivo de Chaves
159956,J. Ermeño,25,Chile,73,Everton de Viña del Mar
228821,Z. Machach,21,France,73,Toulouse FC
213974,D. Rodríguez,27,Uruguay,73,Independiente
215254,L. Lollo,30,Argentina,73,River Plate
201943,A. Cornelius,24,Denmark,73,Atalanta
204247,K. Frei,23,Turkey,73,İstanbul Başakşehir FK
200408,B. Gibson,24,England,73,Middlesbrough
204760,C. Taylor,23,England,73,Burnley
208088,Sergi Samper,22,Spain,73,UD Las Palmas
210648,A. Hegazy,26,Egypt,73,West Bromwich Albion
228312,R. Lod,24,Finland,73,Panathinaikos FC
169432,M. Lacen,33,Algeria,73,Getafe CF
220633,D. Gray,21,England,73,Leicester City
226777,C. Larin,22,Canada,73,Orlando City Soccer Club
234457,P. Etebo,21,Nigeria,73,CD Feirense
199387,P. Chavarría,29,Argentina,73,Stade de Reims
207835,Ademilson,23,Brazil,73,Gamba Osaka
192732,E. Prib,27,Russia,73,Hannover 96
223198,A. Adnan,23,Iraq,73,Udinese
231390,Diogo Gonçalves,20,Portugal,73,SL Benfica
232670,F. Zampedri,29,Argentina,73,Rosario Central
221919,A. Zeneli,22,Kosovo,73,SC Heerenveen
183519,N. Barazite,27,Netherlands,73,Evkur Yeni Malatyaspor
194015,J. Börner,26,Germany,73,DSC Arminia Bielefeld
198368,Tomás Pina,29,Spain,73,Deportivo Alavés
183520,Fran Mérida,27,Spain,73,CA Osasuna
193504,S. Caulker,25,England,73,Queens Park Rangers
203745,L. Blanchard,29,Italy,73,Carpi
208609,R. Lawal,27,Nigeria,73,Osmanlıspor
145889,Tito,31,Spain,73,CD Leganés
169697,D. Randolph,30,Republic of Ireland,73,Middlesbrough
180706,C. Cathcart,28,Northern Ireland,73,Watford
197860,Ivo Pinto,27,Portugal,73,Norwich City
153060,J. Insaurralde,32,Argentina,73,Boca Juniors
220132,Zaldúa,25,Spain,73,CD Leganés
187620,R. van Eijden,29,Netherlands,73,AZ Alkmaar
200677,Pedro Mendes,26,Portugal,73,Montpellier Hérault SC
183781,A. Bjelland,28,Denmark,73,Brentford
184037,M. Kelly,27,England,73,Crystal Palace
142822,J. Gutiérrez,33,Argentina,73,Independiente
187878,L. Mareček,27,Czech Republic,73,Sparta Praha
193510,D. Novaretti,32,Argentina,73,Club León
240359,O. Alderete,20,Paraguay,73,Gimnasia y Esgrima La Plata
159976,H. Ejeda,33,Chile,73,Everton de Viña del Mar
184040,M. Hansen,27,Denmark,73,SC Heerenveen
189160,G. McCleary,30,Jamaica,73,Reading
203241,Luccas Claro,25,Brazil,73,Gençlerbirliği SK
215018,B. Alemán,27,Uruguay,73,Gimnasia y Esgrima La Plata
189930,I. Köybaşı,27,Turkey,73,Fenerbahçe SK
210923,M. Al Owais,25,Saudi Arabia,73,Al Ahli
53739,L. Grant,34,England,73,Stoke City
208364,Clinton Mata,24,Angola,73,KRC Genk
169708,S. Hutchinson,27,England,73,Sheffield Wednesday
188397,R. Rodelin,27,France,73,SM Caen
169710,L. Bridcutt,28,Scotland,73,Nottingham Forest
177390,H. Medunjanin,32,Bosnia Herzegovina,73,Philadelphia Union
164079,Juninho,34,Brazil,73,Tigres U.A.N.L.
189936,R. Ruiter,30,Netherlands,73,Sunderland
200433,L. Hinterseer,26,Austria,73,VfL Bochum
164849,Paulo Machado,31,Portugal,73,CD Aves
198386,S. Dubarbier,31,Argentina,73,Estudiantes de La Plata
207858,D. Dwyer,26,United States,73,Orlando City Soccer Club
208114,Patrick,26,Brazil,73,Vitória Setúbal
212722,D. Yedlin,23,United States,73,Newcastle United
220658,Ailton,22,Brazil,73,VfB Stuttgart
189938,M. van der Werff,28,Netherlands,73,Vitesse
214771,V. Ayala,29,Paraguay,73,Al Nassr
230387,Heitinho Zanon,33,Brazil,73,Associação Chapecoense de Futebol
183795,G. Margreitter,28,Austria,73,1. FC Nürnberg
137460,A. Rosina,33,Italy,73,Salernitana
218868,A. Silva,27,Uruguay,73,Club Atlético Lanús
212469,A. Ghazal,25,Egypt,73,Vancouver Whitecaps FC
164853,A. Federici,32,Australia,73,Bournemouth
200438,Guilherme,26,Brazil,73,Legia Warszawa
203766,A. El-Shenawy,26,Egypt,73,NA
215798,M. Cornet,20,Ivory Coast,73,Olympique Lyonnais
216054,N. Domínguez,27,Argentina,73,Independiente
221430,U. Đurđević,23,Serbia,73,Olympiakos CFP
209911,C. Lungu,26,Zambia,73,Alanyaspor
201976,A. Gomis,23,Senegal,73,Ferrara (SPAL)
159992,D. Ballega,33,Chile,73,CD Universidad de Concepción
101880,R. Green,37,England,73,Huddersfield Town
235512,Gelson Dala,20,Angola,73,Sporting CP
193528,I. Sylla,26,Guinea,73,Queens Park Rangers
148217,A. Anyukov,34,Russia,73,Zenit St. Petersburg
220921,A. Esiti,23,Nigeria,73,KAA Gent
164857,Edinho,34,Portugal,73,Vitória Setúbal
230393,Paolito Serra,25,Brazil,73,Fluminense Football Club
178425,G. Vives,36,Italy,73,Vercelli
198394,A. Kačaniklić,25,Sweden,73,FC Nantes
217082,W. Ángel,24,Venezuela,73,Terek Grozny
159994,B. Leitoñez,25,Chile,73,Colo-Colo
189690,Guaita,30,Spain,73,Getafe CF
202491,T. Carroll,25,England,73,Swansea City
208892,S. Byram,23,England,73,West Ham United
215292,M. Cauteruccio,30,Uruguay,73,Cruz Azul
176636,K. Vacek,30,Czech Republic,73,Śląsk Wrocław
178684,Nuno André Coelho,31,Portugal,73,Grupo Desportivo de Chaves
187644,C. Maidana,30,Argentina,73,Águilas Doradas
214781,S. Romero,28,Argentina,73,Club América
225021,J. Benítez,24,Paraguay,73,Monterrey
54013,S. Downing,32,England,73,Middlesbrough
188157,L. Immers,31,Netherlands,73,ADO Den Haag
188413,C. Carmona,30,Chile,73,Atlanta United FC
190461,B. Sigurðarson,25,Iceland,73,Molde FK
218623,Cafú,24,Portugal,73,FC Metz
220671,F. Melchiorri,30,Italy,73,Cagliari
230399,Michildo Melo,33,Brazil,73,Grêmio Foot-Ball Porto Alegrense
240896,C. Alemán,21,Ecuador,72,Estudiantes de La Plata
220673,R. Tapia,21,Peru,72,Feyenoord
198146,S. Šćepović,27,Serbia,72,Real Sporting de Gijón
198658,F. Midtsjø,23,Norway,72,AZ Alkmaar
210434,F. Chafik,30,Morocco,72,Dijon FCO
160002,O. Jonia,25,Chile,72,Everton de Viña del Mar
188674,M. Pektemek,28,Turkey,72,Beşiktaş JK
146947,Vesga,24,Spain,72,Athletic Club de Bilbao
222467,Ivi,23,Spain,72,Levante UD
180739,E. Kawashima,34,Japan,72,FC Metz
201220,L. Memushaj,30,Albania,72,Benevento Calcio
219652,Rober Ibáñez,24,Spain,72,Valencia CF
160004,M. Echeberria,25,Chile,72,Unión Española
176900,M. Candelo,40,Colombia,72,Asociacion Deportivo Cali
220165,J. Pohjanpalo,22,Finland,72,Bayer 04 Leverkusen
223749,O. Çınar,21,Turkey,72,Beşiktaş JK
185349,D. Odoi,29,Belgium,72,Fulham
193029,A. Ajdarević,27,Sweden,72,AEK Athens
200966,B. Corgnet,30,France,72,RC Strasbourg
203782,A. Benali,25,Libya,72,Pescara
204550,V. Ibarbo,27,Colombia,72,Sagan Tosu
210182,M. Jahfali,26,Saudi Arabia,72,Al Hilal
222982,A. Blin,20,France,72,Toulouse FC
162054,M. Bunn,32,England,72,Aston Villa
201991,Erik Morán,26,Spain,72,CD Leganés
138247,K. Stuhr-Ellegaard,34,Denmark,72,IF Elfsborg
203783,T. Smith,25,England,72,Huddersfield Town
210695,H. Aleesami,25,Norway,72,Palermo
212231,Tobias Figueiredo,23,Portugal,72,Sporting CP
230407,Miltisco Paulino,29,Brazil,72,Botafogo de Futebol e Regatas
233223,P. Brlek,23,Croatia,72,Genoa
176903,M. Iturra,33,Chile,72,Necaxa
190471,B. Parker,31,South Africa,72,Kaizer Chiefs
207624,K. Omeruo,23,Nigeria,72,Kasimpaşa SK
223240,G. Bettini,24,Argentina,72,Banfield
160008,L. Parreses,25,Chile,72,Deportes Iquique
34824,A. Floro Flores,34,Italy,72,Bari
146953,Manu Del Moral,33,Spain,72,CD Numancia
177673,S. Gashi,28,Albania,72,Colorado Rapids
149258,A. Cordaz,34,Italy,72,Crotone
138507,Toño,37,Spain,72,Rayo Vallecano
50955,J. Cavalli,35,France,72,AC Ajaccio
215309,L. Albertengo,26,Argentina,72,Independiente
223245,B. Fernández,22,Argentina,72,FC Metz
168974,D. Lafata,35,Czech Republic,72,Sparta Praha
197391,L. Vilsvik,28,Norway,72,Strømsgodset IF
200463,T. Melia,31,United States,72,Sporting Kansas City
143119,M. Pavone,35,Argentina,72,Estudiantes de La Plata
213007,A. Aseri,23,Saudi Arabia,72,Al Ahli
222991,M. Saito,27,Japan,72,Yokohama F. Marinos
36111,K. Beckerman,35,United States,72,Real Salt Lake
183567,E. Mulder,28,Netherlands,72,Swansea City
212240,K. Karaman,23,Turkey,72,Hannover 96
163600,J. Ruddy,30,England,72,Wolverhampton Wanderers
230672,Lyanco,20,Brazil,72,Torino
203793,A. Jóhannsson,26,United States,72,SV Werder Bremen
215569,Unai Garcia,24,Spain,72,CA Osasuna
205330,J. Louis,24,Haiti,72,SM Caen
187666,S. Pesyakov,28,Russia,72,FC Rostov
225555,A. Oğuz,24,Turkey,72,Gençlerbirliği SK
225811,M. Moreno,20,Colombia,72,Girona CF
215060,N. Aguirre,26,Argentina,72,Club Atlético Lanús
181780,T. Matavž,28,Slovenia,72,Vitesse
230421,Otávinho Vila,33,Brazil,72,Avaí Futebol Clube
189717,R. Ghoochannejhad,29,Iran,72,SC Heerenveen
135190,M. Liendl,31,Austria,72,FC Twente
189462,J. Hoilett,27,Canada,72,Cardiff City
160023,L. Muñezal,33,Chile,72,Deportes Iquique
187415,V. Granat,30,Russia,72,Rubin Kazan
186648,T. Kádár,27,Hungary,72,NA
208153,L. Veldwijk,25,South Africa,72,FC Groningen
164633,T. Hoogland,32,Germany,72,VfL Bochum
230425,Rubem Esteiro,29,Brazil,72,Sport Club do Recife
240409,D. Kolovetsios,25,Greece,72,Panathinaikos FC
175897,S. Ujkani,28,Kosovo,72,Cremonese
183833,I. Andriatsima,33,Madagascar,72,FC Sochaux-Montbéliard
206106,E. Şahin,22,Turkey,72,FC St. Pauli
208923,I. Ghaleb,26,Saudi Arabia,72,Al Nassr
221467,Lee Chang Min,23,Korea Republic,72,Jeju United FC
228635,Borja Mayoral,20,Spain,72,Real Madrid CF
186139,M. James,25,England,72,Leicester City
186651,G. Vural,29,Turkey,72,Kayserispor
143644,S. Şahin,36,Turkey,72,Göztepe
224540,E. Boateng,21,Ghana,72,Levante UD
166940,A. Gaţcan,33,Moldova,72,FC Rostov
207645,M. Barrow,24,Gambia,72,Reading
230429,Timo Triano,33,Brazil,72,Santos Futebol Clube
191005,A. Elmohamady,29,Egypt,72,Aston Villa
194333,R. Gikiewicz,29,Poland,72,SC Freiburg
205598,André Sousa,26,Portugal,72,CF Os Belenenses
220702,G. Silva,23,Uruguay,72,Independiente
160030,G. Naballoz,33,Chile,72,Universidad de Chile
194334,Daniel Ayala,26,Spain,72,Middlesbrough
219167,S. Vittor,28,Argentina,72,Racing Club de Avellaneda
186143,O. Norwood,26,Northern Ireland,72,Fulham
160032,J. Senparabia,25,Chile,72,Everton de Viña del Mar
232736,Y. Kobayashi,25,Japan,72,SC Heerenveen
189472,Aridane,28,Spain,72,CA Osasuna
205857,E. Mathoho,27,South Africa,72,Kaizer Chiefs
209698,B. Touré,25,Mali,72,AJ Auxerre
230434,Pimentiscinho,29,Brazil,72,Botafogo de Futebol e Regatas
226851,B. Pavard,21,France,72,VfB Stuttgart
53027,A. Yahia,35,Tunisia,72,AS Nancy Lorraine
194083,Marco Paixão,32,Portugal,72,Lechia Gdańsk
223524,E. Goldaniga,23,Italy,72,Sassuolo
150565,H. Bedimo,33,Cameroon,72,Olympique de Marseille
222501,T. Castagne,21,Belgium,72,Atalanta
182053,K. Vassiljev,32,Estonia,72,Piast Gliwice
216102,André Claro,26,Portugal,72,Estoril Praia
240166,N. Mihajlović,21,Serbia,72,SC Heerenveen
184614,M. Kramer,28,Netherlands,72,Feyenoord
157479,Pedro López,33,Spain,72,Levante UD
199464,L. Rose,25,France,72,FC Lorient
183336,P. Helland,27,Norway,72,Rosenborg BK
189480,J. Šural,27,Czech Republic,72,Sparta Praha
193064,Carlos David,31,Spain,72,SD Huesca
204841,D. Riascos,31,Colombia,72,CD Los Millionarios Bogota
207657,F. Barrientos,25,Argentina,72,Club Atlético Lanús
159017,K. Hämäläinen,30,Finland,72,Legia Warszawa
160041,J. Oyarcan,33,Chile,72,CD Universidad de Concepción
201514,E. Kachunga,25,DR Congo,72,Huddersfield Town
219690,Diego Galo,33,Brazil,72,CD Aves
220715,E. Ponce,20,Argentina,72,LOSC Lille
160043,A. Candelo,25,Chile,72,Deportes Iquique
106795,G. Pegolo,36,Italy,72,Sassuolo
234028,Rômulo Calsede,29,Brazil,72,Clube Atlético Mineiro
160045,S. Ricuelme,33,Chile,72,CD Huachipato
183853,Aarón Ñíguez,28,Spain,72,Real Oviedo
227886,D. Buitrago,26,Colombia,72,Independiente Santa Fe
52270,H. Westermann,33,Germany,72,FK Austria Wien
209711,R. Thelander,25,Denmark,72,FC Zürich
156975,C. Berra,32,Scotland,72,Heart of Midlothian
151856,P. Utaka,33,Nigeria,72,F.C. Tokyo
230448,Porphirinho,29,Brazil,72,Coritiba Foot Ball Club
184624,J. Rhodes,27,Scotland,72,Sheffield Wednesday
204337,G. Núñez,29,Argentina,72,Atlético Tucumán
219953,Embarba,25,Spain,72,Rayo Vallecano
222513,R. Aarons,21,England,72,Newcastle United
226865,Bruno Santos,24,Brazil,72,FC Paços de Ferreira
190769,E. Lamanna,27,Italy,72,Genoa
201266,K. Kusk,25,Denmark,72,FC København
139058,O. Pérez,36,Argentina,72,Independiente Santa Fe
211506,J. Swift,22,England,72,Reading
160050,F. Iturrado,29,Chile,72,CD Huachipato
227890,Nuno Santos,22,Portugal,72,Rio Ave FC
45874,A. Farnerud,33,Sweden,72,BK Häcken
189490,M. Boland,30,Germany,72,Eintracht Braunschweig
202035,N. Benezet,26,France,72,En Avant de Guingamp
202547,J. Bahebeck,24,France,72,FC Utrecht
152883,C. Marshall,32,United States,72,Seattle Sounders FC
189235,J. Hegeler,29,Germany,72,Bristol City
146996,Rubén,33,Spain,72,RC Deportivo de La Coruña
159284,R. Palladino,33,Italy,72,Genoa
230452,Alessinito,33,Brazil,72,Grêmio Foot-Ball Porto Alegrense
190516,Y. El Ghanassy,26,Belgium,72,FC Nantes
193844,Portillo,27,Spain,72,Getafe CF
224309,Joan Jordán,22,Spain,72,SD Eibar
179509,T. Phibel,31,France,72,FC Anzhi Makhachkala
160054,E. Cubildas,33,Chile,72,Audax Italiano
231478,L. Martínez,19,Argentina,72,Racing Club de Avellaneda
223543,Jonathan Cafú,25,Brazil,72,Girondins de Bordeaux
160055,R. Latorres,25,Chile,72,Club de Deportes Temuco
227127,Álex Remiro,22,Spain,72,SD Huesca
171831,M. Mancienne,29,England,72,Nottingham Forest
226616,J. Galván,25,Argentina,72,Colon de Santa Fe
201529,M. Capuano,25,Italy,72,Cagliari
206649,A. Henríquez,34,Colombia,72,Atletico Nacional Medellin
211513,T. Lawrence,23,Wales,72,Derby County
158777,P. Tschauner,31,Germany,72,Hannover 96
187705,E. Hernández,30,Mexico,72,Guadalajara
193081,M. Saunier,27,France,72,Granada CF
191547,S. Koroki,30,Japan,72,Urawa Red Diamonds
199228,Pires,36,Portugal,72,Portimonense SC
139836,C. Medjani,32,Algeria,72,Medicana Sivasspor
211260,M. Makola,31,South Africa,72,Orlando Pirates
175932,R. De Laet,28,Belgium,72,Aston Villa
203581,Balliu,25,Spain,72,FC Metz
216381,J. Zimmer,23,Germany,72,Fortuna Düsseldorf
223293,Afonso Figueiredo,24,Portugal,72,Stade Rennais FC
160061,N. Aguileda,29,Chile,72,San Luis de Quillota
226877,Ivo Rodrigues,22,Portugal,72,Royal Antwerp FC
230461,Leordinho Paes,29,Brazil,72,Grêmio Foot-Ball Porto Alegrense
215358,M. Meli,25,Argentina,72,Racing Club de Avellaneda
226110,N. Pépé,22,Ivory Coast,72,LOSC Lille
215615,Maikel Mesa,26,Spain,72,Gimnàstic de Tarragona
160063,A. Perosas,29,Chile,72,Deportes Iquique
186687,G. Kačar,30,Serbia,72,FC Augsburg
208960,H. Henao,30,Colombia,72,CD Once Caldas Manizales
234816,N. Gorosito,28,Argentina,72,Getafe CF
188992,M. Estigarribia,29,Paraguay,72,Colon de Santa Fe
